station_id,lat,lon,tmean_c
41.265465_2.018609,41.265465,2.018609,28.991278
41.265476_2.04133,41.265476,2.04133,27.871277
41.26548_2.06405,41.26548,2.06405,27.96814
41.265507_2.007841,41.265507,2.007841,29.396318
41.26552_2.030561,41.26552,2.030561,28.046007
41.265526_2.053282,41.265526,2.053282,27.901209
41.26556_2.019793,41.26556,2.019793,29.006826
41.26557_2.042513,41.26557,2.042513,27.86352
41.265575_2.065234,41.265575,2.065234,27.985422
41.265602_2.009024,41.265602,2.009024,29.389284
41.265614_2.031745,41.265614,2.031745,28.03943
41.26562_2.054465,41.26562,2.054465,27.909948
41.26564_1.998256,41.26564,1.998256,29.641563
41.265656_2.020977,41.265656,2.020977,29.041733
41.265667_2.043697,41.265667,2.043697,27.855955
41.26567_2.066417,41.26567,2.066417,28.004654
41.265697_2.010208,41.265697,2.010208,29.37999
41.26571_2.032929,41.26571,2.032929,28.02742
41.265717_2.055649,41.265717,2.055649,27.922922
41.265736_1.99944,41.265736,1.99944,29.596968
41.26575_2.02216,41.26575,2.02216,29.044641
41.265762_2.044881,41.265762,2.044881,27.849073
41.265766_2.067601,41.265766,2.067601,28.024874
41.265793_2.011392,41.265793,2.011392,29.372705
41.265804_2.034112,41.265804,2.034112,28.011366
41.265812_2.056833,41.265812,2.056833,27.93402
41.26583_2.000623,41.26583,2.000623,29.549597
41.265846_2.023344,41.265846,2.023344,28.143349
41.265858_2.046064,41.265858,2.046064,27.850067
41.26586_2.068785,41.26586,2.068785,28.044725
41.26589_2.012575,41.26589,2.012575,29.361876
41.2659_2.035296,41.2659,2.035296,28.004557
41.265907_2.058016,41.265907,2.058016,27.944801
41.265926_2.001807,41.265926,2.001807,29.55816
41.26594_2.024528,41.26594,2.024528,28.144442
41.26595_2.047248,41.26595,2.047248,27.854301
41.265953_2.069968,41.265953,2.069968,28.069635
41.265984_2.013759,41.265984,2.013759,29.377554
41.265995_2.036479,41.265995,2.036479,27.998177
41.266003_2.0592,41.266003,2.0592,27.95104
41.26602_2.00299,41.26602,2.00299,29.541702
41.266037_2.025711,41.266037,2.025711,28.116484
41.266045_2.048432,41.266045,2.048432,27.857195
41.26605_2.071152,41.26605,2.071152,28.096384
41.26608_2.014943,41.26608,2.014943,28.808187
41.26609_2.037663,41.26609,2.037663,27.976053
41.266094_2.060384,41.266094,2.060384,27.959854
41.266117_2.004174,41.266117,2.004174,29.53089
41.266132_2.026895,41.266132,2.026895,28.097017
41.26614_2.049615,41.26614,2.049615,27.869764
41.266144_2.072336,41.266144,2.072336,28.1177
41.266174_2.016126,41.266174,2.016126,28.783691
41.266186_2.038847,41.266186,2.038847,27.953066
41.26619_2.061567,41.26619,2.061567,27.972153
41.266212_2.005358,41.266212,2.005358,29.51918
41.266228_2.028078,41.266228,2.028078,28.075766
41.266235_2.050799,41.266235,2.050799,27.88549
41.26624_2.073519,41.26624,2.073519,28.131628
41.26627_2.01731,41.26627,2.01731,28.797297
41.26628_2.04003,41.26628,2.04003,27.935898
41.266285_2.062751,41.266285,2.062751,27.978247
41.26631_2.006541,41.26631,2.006541,29.510979
41.266323_2.029262,41.266323,2.029262,28.073088
41.26633_2.051983,41.26633,2.051983,27.900719
41.266335_2.074703,41.266335,2.074703,28.14305
41.266365_2.018493,41.266365,2.018493,28.812302
41.266376_2.041214,41.266376,2.041214,27.91793
41.26638_2.063935,41.26638,2.063935,27.985804
41.266407_2.007725,41.266407,2.007725,29.496927
41.26642_2.030446,41.26642,2.030446,28.06632
41.266426_2.053166,41.266426,2.053166,27.911428
41.266426_2.075887,41.266426,2.075887,28.15904
41.26646_2.019677,41.26646,2.019677,28.806625
41.266468_2.042398,41.266468,2.042398,27.903564
41.266476_2.065119,41.266476,2.065119,27.998686
41.266502_2.008909,41.266502,2.008909,29.491217
41.266514_2.031629,41.266514,2.031629,28.067278
41.26652_2.05435,41.26652,2.05435,27.92205
41.26652_2.077071,41.26652,2.077071,28.17508
